Name,Lat,Long,burs,grid,counts,percent
la gloria bar and lounge,40.756141,-73.881166,Queens,"(301, 222)",2.0,0.0666666666667
penthouse 808,40.7537901,-73.9494354,Queens,"(247, 220)",3.0,0.1
play lounge,40.7389305,-73.8864951,Queens,"(297, 208)",3.0,0.1
ravel penthouse808,40.7541432,-73.9494266,Queens,"(247, 220)",3.0,0.1
la boom,40.753828,-73.90443,Queens,"(283, 220)",4.0,0.133333333333
laboom,40.753828,-73.90443,Queens,"(283, 220)",4.0,0.133333333333
mamajuana cafe,40.7528063,-73.9048237,Queens,"(282, 219)",4.0,0.133333333333
vista sky rooftop,40.7543462,-73.9355318,Queens,"(258, 220)",5.0,0.166666666667
purlieu astoria queens nyc,40.7554108,-73.9277274,Queens,"(264, 221)",6.0,0.2
sl lounge,40.7486794,-73.869867,Queens,"(310, 216)",8.0,0.266666666667
cavo queens,40.7628909,-73.9204532,Queens,"(270, 227)",12.0,0.4
palladium,40.7561454,-73.9301468,Queens,"(262, 222)",17.0,0.566666666667
bungalo,40.7616589,-73.9242411,Queens,"(267, 226)",30.0,1.0
